webapi,count
\screen\at\correctionofdailyperformance\calcTime,66
\screen\at\ktg26\extractOvertime,39
\screen\at\correctionofdailyperformance\startScreen,36
\screen\at\overtimehours\getEmployeesOvertimeData,33
\screen\at\correctionofdailyperformance\loadRow,30
\screen\at\correctionofdailyperformance\addAndUpdate,16
\screen\at\correctionofdailyperformance\execMonthlyAggregateAsync,14
\screen\at\mobile\ccgs08\overtime\toppage,12
\screen\ksu\ksu002\getPlansResults,10
\at\request\application\overtime\start,9
\at\request\application\getStartPC,7
\screen\at\ktg001\display,4
\screen\at\correctionofdailyperformance\initMOB,4
\at\request\application\stamp\changeAppDateMobile,2
\at\request\app\smartphone\getStartNewMob,2
\screen\at\schedule\start,2
\screen\at\kdw013\a\changeDate,2
\screen\at\schedule\get-aggregated-info,2
\screen\at\correctionofdailyperformance\calculation,1
\at\request\application\appforleave\insert,1
\at\request\application\applist\getapplist,1
\at\request\application\changeAppDate,1
\at\request\application\holidaywork\mobile\getDetail,1
\at\request\application\applist\findByPeriod,1
\screen\at\kdw013\a\register-work-content,1
\screen\at\monthlyperformance\startScreen,1
\screen\at\schedule\change-month,1
\screen\at\schedule\get-data-grid,1
\at\request\application\workchange\changeAppDate,1
\at\request\dialog\annualholidays\findAnnualHolidays,1
\at\request\application\applist\approverAfterConfirm,1
\screen\at\ktg004\getData,1
