テーブル名,カラム名,検証内容,値（※サンプル）
bsymt_aff_com_hist,cid,char(36)のカラムにUUID形式でない値が入っています,037825988863-0001                   
bsymt_aff_com_hist_item,recruiment_category_cd,char(36)のカラムにUUID形式でない値が入っています,                                    
kfnmt_plan_time_item,schedule_id,char(36)のカラムにUUID形式でない値が入っています,1001                                
kfnmt_rpt_wk_atd_outatd,record_item_id,char(36)のカラムにUUID形式でない値が入っています,-37feee90:182d7eead12:-7fff         
krcmt_eral_day_set,eral_check_id,char(36)のカラムにUUID形式でない値が入っています,00000000000000000000000000000000D001
krcmt_eralst_cnd,atd_item_condition_group1,char(36)のカラムにUUID形式でない値が入っています,0                                   
krcmt_eralst_cnd,eral_check_id,char(36)のカラムにUUID形式でない値が入っています,000000000000000000000000000000000001
kshmt_wt_com_wkp,wkp_id,char(36)のカラムにUUID形式でない値が入っています,1000000                             
ksrmt_per_cost_calc,hist_id,char(36)のカラムにUUID形式でない値が入っています,HIST_ITEM0_COM0_00000000000000000001
ksrmt_per_cost_calc_hist,hist_id,char(36)のカラムにUUID形式でない値が入っています,HIST_ITEM0_COM0_00000000000000000001
ksrmt_per_cost_premi_rate,hist_id,char(36)のカラムにUUID形式でない値が入っています,HIST_ITEM0_COM0_00000000000000000001
ksrmt_per_cost_premium,hist_id,char(36)のカラムにUUID形式でない値が入っています,HIST_ITEM0_COM0_00000000000000000001
ksrmt_unit_price_item_sya,hist_id,char(36)のカラムにUUID形式でない値が入っています,15605                               
ksrmt_unit_price_sya,hist_id,char(36)のカラムにUUID形式でない値が入っています,16439                               
oiomt_ex_out_ctg_auth,role_id,char(36)のカラムにUUID形式でない値が入っています,ROLE_ID_3_000000000000-0000         
sacmt_role_indivi_grant,role_id,char(36)のカラムにUUID形式でない値が入っています,00000000-0000-0000-00000000000000000
sacmt_roleset,hr_role,char(36)のカラムにUUID形式でない値が入っています,                                    
sacmt_roleset,my_number_role,char(36)のカラムにUUID形式でない値が入っています,                                    
sacmt_roleset,office_helper_role,char(36)のカラムにUUID形式でない値が入っています,                                    
sacmt_roleset,salary_role,char(36)のカラムにUUID形式でない値が入っています,                                    
sptdt_generic_search_hist,user_id,char(36)のカラムにUUID形式でない値が入っています,BuiltInUser-UserID                  
srcdt_basic_info,attendance_role,char(36)のカラムにUUID形式でない値が入っています,BuiltInUser-RoleID                  
srcdt_basic_info,com_admin_role,char(36)のカラムにUUID形式でない値が入っています,00000000-0000-0000-00000000000000001
srcdt_basic_info,group_com_admin_role,char(36)のカラムにUUID形式でない値が入っています,BuiltInUser-RoleID                  
srcdt_basic_info,office_helper_role,char(36)のカラムにUUID形式でない値が入っています,BuiltInUser-RoleID                  
srcdt_basic_info,payroll_role,char(36)のカラムにUUID形式でない値が入っています,BuiltInUser-RoleID                  
srcdt_basic_info,person_info_role,char(36)のカラムにUUID形式でない値が入っています,ROLE_ID_8_000000000000-0000         
srcdt_basic_info,personnel_role,char(36)のカラムにUUID形式でない値が入っています,BuiltInUser-RoleID                  
srcdt_basic_info,sid,char(36)のカラムにUUID形式でない値が入っています,BuiltInUser-EmployeeID              
srcdt_basic_info,sys_admin_role,char(36)のカラムにUUID形式でない値が入っています,00000000-0000-0000-00000000000000000
srcdt_basic_info,user_id,char(36)のカラムにUUID形式でない値が入っています,BuiltInUser-UserID                  
srcdt_per_history_data,string_key,char(36)のカラムにUUID形式でない値が入っています,UKAdmin1                            
srcdt_start_page_info,attendance_role,char(36)のカラムにUUID形式でない値が入っています,BuiltInUser-RoleID                  
srcdt_start_page_info,com_admin_role,char(36)のカラムにUUID形式でない値が入っています,00000000-0000-0000-00000000000000001
srcdt_start_page_info,group_com_admin_role,char(36)のカラムにUUID形式でない値が入っています,00000000-0000-0000-00000000000000001
srcdt_start_page_info,office_helper_role,char(36)のカラムにUUID形式でない値が入っています,BuiltInUser-RoleID                  
srcdt_start_page_info,payroll_role,char(36)のカラムにUUID形式でない値が入っています,BuiltInUser-RoleID                  
srcdt_start_page_info,person_info_role,char(36)のカラムにUUID形式でない値が入っています,ROLE_ID_8_000000000000-0000         
srcdt_start_page_info,personnel_role,char(36)のカラムにUUID形式でない値が入っています,BuiltInUser-RoleID                  
srcdt_start_page_info,sid,char(36)のカラムにUUID形式でない値が入っています,BuiltInUser-EmployeeID              
srcdt_start_page_info,sys_admin_role,char(36)のカラムにUUID形式でない値が入っています,00000000-0000-0000-00000000000000000
srcdt_start_page_info,user_id,char(36)のカラムにUUID形式でない値が入っています,BuiltInUser-UserID                  
wwfdt_conf_frame,approver_id,char(36)のカラムにUUID形式でない値が入っています,00000167                            
